letter1,letter2,letter3,letter4,letter5,PoS
97,98,111,117,116,105
116,104,101,105,114,97
119,111,117,108,100,118
116,104,105,110,107,118
116,104,101,114,101,101
119,104,105,99,104,100
111,116,104,101,114,106
99,111,117,108,100,118
116,104,101,115,101,100
116,104,105,110,103,110
102,105,114,115,116,109
116,104,111,115,101,100
116,104,101,114,101,114
114,105,103,104,116,114
119,111,109,97,110,110
115,116,105,108,108,114
97,102,116,101,114,105
110,101,118,101,114,114
119,111,114,108,100,110
103,114,101,97,116,106
99,104,105,108,100,110
115,116,97,116,101,110
108,101,97,118,101,118
119,104,101,114,101,114
119,104,105,108,101,99
115,116,97,114,116,118
116,104,114,101,101,109
101,118,101,114,121,97
104,111,117,115,101,110
97,103,97,105,110,114
109,105,103,104,116,118
112,108,97,99,101,110
119,104,101,114,101,99
112,111,105,110,116,110
103,114,111,117,112,110
97,98,111,117,116,114
110,105,103,104,116,110
119,114,105,116,101,118
98,114,105,110,103,118
109,111,110,101,121,110
115,116,111,114,121,110
116,111,100,97,121,114
98,101,103,105,110,118
114,105,103,104,116,110
115,109,97,108,108,106
109,111,110,116,104,110
109,97,121,98,101,114
114,105,103,104,116,106
117,110,100,101,114,105
115,116,117,100,121,110
115,105,110,99,101,99
105,115,115,117,101,110
108,97,114,103,101,106
112,111,119,101,114,110
119,97,116,101,114,110
121,111,117,110,103,106
97,102,116,101,114,99
116,104,97,110,107,118
119,97,116,99,104,118
117,110,116,105,108,99
108,101,97,114,110,118
108,101,97,115,116,114
112,97,114,116,121,110
115,116,97,110,100,118
111,102,116,101,110,114
115,112,101,97,107,118
98,108,97,99,107,106
97,108,108,111,119,118
115,112,101,110,100,118
108,101,118,101,108,110
108,97,116,101,114,114
97,109,111,110,103,105
119,104,105,116,101,106
99,111,117,114,116,110
116,97,98,108,101,110
115,111,114,114,121,106
104,117,109,97,110,106
111,102,102,101,114,118
100,101,97,116,104,110
119,104,111,108,101,106
98,117,105,108,100,118
115,101,110,115,101,110
101,97,114,108,121,106
109,117,115,105,99,110
99,108,97,115,115,110
104,101,97,114,116,110
115,101,114,118,101,118
98,114,101,97,107,118
102,111,114,99,101,110
97,103,114,101,101,118
119,114,111,110,103,106
108,111,99,97,108,106
118,97,108,117,101,110
112,104,111,110,101,110
101,118,101,110,116,110
100,114,105,118,101,118
114,101,97,99,104,118
109,111,100,101,108,110
109,111,118,105,101,110
102,105,101,108,100,110
114,97,105,115,101,118
108,105,103,104,116,110
112,114,105,99,101,110
113,117,105,116,101,114
97,108,111,110,103,105
118,111,105,99,101,110
112,104,111,116,111,110
115,112,97,99,101,110
109,97,106,111,114,106
99,97,117,115,101,118
104,97,112,112,121,106
116,101,97,99,104,118
101,97,114,108,121,114
115,104,97,114,101,118
99,97,114,114,121,118
99,108,101,97,114,106
105,109,97,103,101,110
112,105,101,99,101,110
112,97,112,101,114,110
109,101,100,105,97,110
99,97,116,99,104,118
99,111,108,111,114,110
99,111,118,101,114,118
103,117,101,115,115,118
99,104,101,99,107,118
102,105,103,104,116,118
118,105,100,101,111,110
116,104,114,111,119,118
116,104,105,114,100,109
114,101,97,100,121,106
119,104,111,115,101,100
115,104,111,111,116,118
115,116,117,102,102,110
102,111,99,117,115,118
115,104,111,114,116,106
112,111,105,110,116,118
116,114,117,116,104,110
111,114,100,101,114,110
99,108,111,115,101,106
115,111,117,110,100,118
110,111,114,116,104,110
98,108,111,111,100,110
99,108,111,115,101,118
101,97,114,116,104,110
99,97,117,115,101,110
111,116,104,101,114,112
101,110,106,111,121,118
115,116,111,114,101,110
98,111,97,114,100,110
115,116,97,116,101,118
112,108,97,99,101,118
102,108,111,111,114,110
115,111,117,116,104,110
112,114,101,115,115,110
119,111,114,114,121,118
101,110,116,101,114,118
115,111,117,110,100,110
112,108,97,110,116,110
115,99,101,110,101,110
99,108,97,105,109,118
112,114,111,118,101,118
115,112,111,114,116,110
97,114,103,117,101,118
115,107,105,108,108,110
99,114,105,109,101,110
111,99,99,117,114,118
115,101,118,101,110,109
108,97,117,103,104,118
97,112,112,108,121,118
102,111,114,99,101,118
115,116,97,102,102,110
108,101,103,97,108,106
102,105,110,97,108,106
115,105,110,99,101,105
100,114,101,97,109,110
101,105,103,104,116,109
101,120,105,115,116,118
117,110,105,111,110,110
115,116,97,103,101,110
97,118,111,105,100,118
116,114,101,97,116,118
118,105,115,105,116,118
114,105,118,101,114,110
98,114,97,105,110,110
99,108,111,115,101,114
103,114,101,101,110,106
115,108,101,101,112,118
97,103,101,110,116,110
103,108,97,115,115,110
97,100,117,108,116,110
116,114,97,100,101,110
115,116,111,99,107,110
116,114,105,97,108,110
115,116,117,100,121,118
115,116,105,99,107,118
97,104,101,97,100,114
116,111,116,97,108,106
112,101,97,99,101,110
97,98,111,118,101,105
116,111,117,103,104,106
111,119,110,101,114,110
115,104,97,108,108,118
118,111,116,101,114,110
114,97,110,103,101,110
99,111,97,99,104,110
99,114,97,122,121,106
115,116,121,108,101,110
109,97,114,99,104,110
97,100,109,105,116,118
104,101,108,108,111,117
109,111,117,116,104,110
115,104,97,107,101,118
114,101,102,101,114,118
97,108,111,110,101,114
100,114,105,110,107,118
114,97,100,105,111,110
116,111,117,99,104,118
102,114,111,110,116,105
115,99,111,114,101,110
99,105,118,105,108,106
119,104,105,108,101,110
119,111,114,116,104,105
116,105,116,108,101,110
104,111,116,101,108,110
106,117,100,103,101,110
98,114,101,97,107,110
102,97,105,116,104,110
99,104,97,105,114,110
102,117,110,110,121,106
116,114,97,99,107,110
104,101,97,118,121,106
116,114,117,115,116,118
102,114,101,115,104,106
99,108,97,105,109,110
109,97,114,114,121,118
97,112,114,105,108,110
113,117,105,99,107,106
97,108,111,110,103,114
98,97,115,105,99,106
99,111,117,110,116,118
115,109,105,108,101,118
98,108,111,99,107,110
108,97,98,111,114,110
97,112,112,108,101,110
115,97,108,101,115,110
112,108,97,110,101,110
97,108,105,118,101,106
104,111,114,115,101,110
115,116,101,97,108,118
98,97,115,105,115,110
97,108,111,110,101,106
98,101,97,99,104,110
115,99,97,108,101,110
115,119,101,101,116,106
102,105,103,104,116,110
116,114,117,108,121,114
104,117,109,97,110,110
115,116,111,110,101,110
116,114,117,99,107,110
115,109,97,114,116,106
111,114,100,101,114,118
115,104,97,114,101,110
115,116,97,114,101,118
108,105,109,105,116,118
99,114,111,119,100,110
103,117,101,115,116,110
116,101,114,109,115,105
99,104,105,101,102,110
115,116,97,114,116,110
117,110,116,105,108,105
102,114,111,110,116,106
115,112,101,101,100,110
97,119,97,114,101,106
101,120,116,114,97,106
103,117,97,114,100,110
102,117,108,108,121,114
108,105,103,104,116,106
